date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
02.03.2021,2021,mexico,liga-mx-women,Santos Laguna W,Necaxa W,1.73,3.58,4.33,1.97,1.81,1.85,1.86,https://www.oddsportal.com/soccer/mexico/liga-mx-women/santos-laguna-necaxa-vcIBm1C3
02.03.2021,2021,iran,division-1,Gol Reyhan Alborz,Astara,3.39,2.99,2.19,2.60,1.44,2.15,1.63,https://www.oddsportal.com/soccer/iran/division-1/gol-reyhan-alborz-shahrdari-astara-6k58QU27
02.03.2021,2021,ethiopia,premier-league,Sidama Bunna,Bahir Dar Kenema,2.72,2.7,2.72,2.34,1.53,1.93,1.81,https://www.oddsportal.com/soccer/ethiopia/premier-league/sidama-bunna-bahir-dar-kenema-hr9f72Mj
02.03.2021,2021,uganda,premier-league,Kyetume,Villa,2.31,3.32,2.66,1.77,1.95,1.64,2.16,https://www.oddsportal.com/soccer/uganda/premier-league/kyetume-fc-villa-YV5x0eX9
02.03.2021,2021,england,national-league,Solihull Moors,Dag &amp; Red,2.02,3.41,3.57,2.11,1.74,1.89,1.86,https://www.oddsportal.com/soccer/england/national-league/solihull-moors-dagenham-red-rPBpkv0j
02.03.2021,2021,england,professional-development-league,Colchester U23,Bristol City U23,3.83,4.06,1.71,1.44,2.56,1.42,2.55,https://www.oddsportal.com/soccer/england/professional-development-league/colchester-bristol-city-6gq8Sfa1
02.03.2021,2021,gambia,gfa-league,Gamtel,Brikama U.,2.56,2.63,2.94,3.00,1.35,2.6,1.44,https://www.oddsportal.com/soccer/gambia/gfa-league/gamtel-brikama-united-4Ur1vZbG
02.03.2021,2021,kazakhstan,super-cup,Shakhtar Karagandy,FC Astana,2.73,3.26,2.36,2.09,1.71,1.81,1.93,https://www.oddsportal.com/soccer/kazakhstan/super-cup/shakhtar-karagandy-fc-astana-OKCLrkMe
02.03.2021,2021,france,ligue-2,Chambly,Troyes,5.59,3.8,1.65,2.07,1.82,1.98,1.81,https://www.oddsportal.com/soccer/france/ligue-2/chambly-troyes-Wpv0ZtLu
02.03.2021,2021,switzerland,challenge-league,Lausanne Ouchy,Grasshoppers,2.41,3.65,2.72,1.67,2.25,1.55,2.38,https://www.oddsportal.com/soccer/switzerland/challenge-league/lausanne-ouchy-grasshoppers-C6WmcsGT
02.03.2021,2021,england,national-league,Barnet,Yeovil,4.11,3.55,1.84,1.79,2.03,1.7,2.09,https://www.oddsportal.com/soccer/england/national-league/barnet-yeovil-Ei6Pniwa
02.03.2021,2021,hungary,otp-bank-liga,Honved,MTK Budapest,2.93,3.49,2.25,1.77,2.05,1.62,2.18,https://www.oddsportal.com/soccer/hungary/otp-bank-liga/honved-mtk-budapest-QRFV73qU
02.03.2021,2021,italy,serie-b,Ascoli,Pisa,2.44,3.15,3.13,2.22,1.71,1.88,1.9,https://www.oddsportal.com/soccer/italy/serie-b/ascoli-pisa-2q7W7jBo
02.03.2021,2021,england,national-league,Wealdstone,Boreham Wood,4.54,3.45,1.79,1.82,2.00,1.73,2.04,https://www.oddsportal.com/soccer/england/national-league/wealdstone-boreham-wood-hxCxErfl
02.03.2021,2021,saudi-arabia,division-1,Al Khaleej,Al Adalh,2.54,3.09,2.69,2.26,1.61,1.9,1.81,https://www.oddsportal.com/soccer/saudi-arabia/division-1/al-khaleej-al-adalh-d09cIAtO
02.03.2021,2021,england,league-two,Tranmere,Newport,2.57,3.1,2.96,2.21,1.69,1.87,1.88,https://www.oddsportal.com/soccer/england/league-two/tranmere-newport-ry0j0yaF
02.03.2021,2021,italy,serie-b,Frosinone,Monza,3.13,3.04,2.5,2.38,1.62,1.97,1.81,https://www.oddsportal.com/soccer/italy/serie-b/frosinone-monza-OIyMmmQT
02.03.2021,2021,italy,serie-b,L.R. Vicenza,Cremonese,2.62,3.05,2.95,2.35,1.63,1.95,1.83,https://www.oddsportal.com/soccer/italy/serie-b/vicenza-virtus-cremonese-j5wEk9eH
02.03.2021,2021,morocco,coupe-du-trone,Berkane,Maghreb Fez,1.96,2.98,4.17,2.48,1.52,2.14,1.66,https://www.oddsportal.com/soccer/morocco/coupe-du-trone/berkane-maghreb-fez-hQehepet
02.03.2021,2021,israel,leumit-league,Hapoel Jerusalem,Hapoel Afula,1.48,3.85,7.13,2.38,1.60,2.72,1.44,https://www.oddsportal.com/soccer/israel/leumit-league/hapoel-jerusalem-hapoel-afula-SdVVmquJ
02.03.2021,2021,netherlands,eerste-divisie,Nijmegen,Den Bosch,1.39,5.18,7.05,1.44,2.73,1.65,2.2,https://www.oddsportal.com/soccer/netherlands/eerste-divisie/nijmegen-den-bosch-8f3RwCD2
02.03.2021,2021,south-africa,premier-league,Maritzburg Utd,Black Leopards,2.17,2.86,3.68,2.58,1.45,2.15,1.65,https://www.oddsportal.com/soccer/south-africa/premier-league/maritzburg-utd-black-leopards-MwZipeiC
02.03.2021,2021,croatia,croatian-cup,NK Zagreb,Hajduk Split,17.0,14.5,1.03,1.13,4.95,2.2,1.6,https://www.oddsportal.com/soccer/croatia/croatian-cup/nk-zagreb-hajduk-split-rBE7WcY0
